Team,Opp.,W/L
Michigan,Oakland,W
Vanderbilt,Lipscomb,W
Arizona,Florida,W
N.C. State,North Carolina Centr,W
Illinois,Jackson St.,W
Kansas,Green Bay,W
High Point,Furman,W
Colorado St.,Incarnate Word,W
Charlotte,Indiana St.,W
Florida,Arizona,L
Central Michigan,Appalachian St.,W
SMU,Tarleton St.,W
IU Indy,Ohio St.,L
Missouri,Howard,L
Ohio St.,IU Indy,W
Arkansas,Southern,W
Dayton,Canisius,W
St. John's,Quinnipiac,W
Oakland,Michigan,L
Buffalo,Southern Miss,W
Saint Mary's,St. Thomas,W
Notre Dame,LIU,W
South Alabama,Toledo,W
Troy,Kent St.,W
Texas A&M,Northwestern St.,W
Mississippi,Southeastern Louisia,W
Baylor,UT Rio Grande Valley,W
North Carolina,Central Arkansas,W
New Orleans,TCU,W
Tulane,Samford,W
Seton Hall,Saint Peter's,W
Wisconsin,Campbell,W
VCU,Wagner,W
Colorado,Montana St.,W
Idaho,Washington St.,W
Cal Baptist,USC Upstate,W
Cleveland St.,Loyola Chicago,L
South Florida,Florida A&M,W
Montana St.,Colorado,L
Bethune Cookman,Auburn,L
Lafayette,Saint Joseph's,L
Northern Illinois,Louisiana Monroe,W
Southern Miss,Buffalo,L
Auburn,Bethune Cookman,W
Colgate,Michigan St.,L
Western Illinois,Radford,L
Grand Canyon,Purdue Fort Wayne,W
USC Upstate,Cal Baptist,L
BYU,Villanova,W
Virginia,Rider,W
Navy,Presbyterian,W
Louisville,South Carolina St.,W
UCF,Hofstra,W
Gonzaga,Texas Southern,W
Saint Louis,Southeast Missouri S,W
Virginia Tech,Charleston Southern,W
Washington,Arkansas Pine Bluff,W
DePaul,Chicago St.,W
Ohio,Arkansas St.,L
Radford,Western Illinois,W
Arkansas St.,Ohio,W
Tarleton St.,SMU,L
Alabama,North Dakota,W
Samford,Tulane,L
Oklahoma,Saint Francis,W
Hofstra,UCF,L
Saint Joseph's,Lafayette,W
Connecticut,New Haven,W
Wake Forest,American,W
Rhode Island,Stetson,W
Clemson,New Hampshire,W
Eastern Washington,UCLA,L
Cincinnati,Western Carolina,W
Siena,Bryant,W
Loyola Chicago,Cleveland St.,W
UCLA,Eastern Washington,W
UT Rio Grande Valley,Baylor,L
Minnesota,Gardner Webb,W
Iowa St.,Fairleigh Dickinson,W
Milwaukee,Hampton,W
Maryland,Coppin St.,W
Florida Atlantic,Boston College,W
Louisiana Monroe,Northern Illinois,L
Duquesne,Niagara,W
Utah,San Jose St.,W
Wagner,VCU,L
Washington St.,Idaho,L
Ball St.,Louisiana,W
Miami FL,Jacksonville,W
Kent St.,Troy,L
Denver,Seattle,L
Toledo,South Alabama,L
Belmont,Air Force,W
James Madison,Akron,L
San Jose St.,Utah,L
Akron,James Madison,W
Indiana St.,Charlotte,L
Michigan St.,Colgate,W
Bowling Green,Texas St.,W
Pittsburgh,Youngstown St.,W
Georgia,Bellarmine,W
UAB,Mississippi Valley S,W
South Dakota St.,Merrimack,W
Houston,Lehigh,W
Illinois Chicago,Detroit Mercy,W
St. Thomas,Saint Mary's,L
Old Dominion,Miami OH,L
California,Cal St. Bakersfield,W
Campbell,Wisconsin,L
Providence,Holy Cross,W
Nebraska,West Georgia,W
St. Bonaventure,Bradley,W
Purdue Fort Wayne,Grand Canyon,L
Miami OH,Old Dominion,W
Quinnipiac,St. John's,L
Louisiana,Ball St.,L
Southern,Arkansas,L
Xavier,Marist,W
Incarnate Word,Colorado St.,L
Murray St.,Nebraska Omaha,W
Jacksonville,Miami FL,L
Syracuse,Binghamton,W
Bucknell,Delaware,W
Oregon St.,North Dakota St.,W
Queens,Winthrop,L
Tennessee,Mercer,W
Rider,Virginia,L
USC,Cal Poly,W
American,Wake Forest,L
Winthrop,Queens,W
Saint Francis,Oklahoma,L
Hampton,Milwaukee,L
Boston College,Florida Atlantic,L
North Carolina Centr,N.C. State,L
Fairfield,Penn St.,L
Penn St.,Fairfield,W
Northern Arizona,Drake,L
West Georgia,Nebraska,L
Georgetown,Morgan St.,W
Southeastern Louisia,Mississippi,L
Bryant,Siena,L
Detroit Mercy,Illinois Chicago,L
Holy Cross,Providence,L
Morgan St.,Georgetown,L
Furman,High Point,L
Northwestern St.,Texas A&M,L
North Dakota St.,Oregon St.,L
Air Force,Belmont,L
Drake,Northern Arizona,W
Saint Peter's,Seton Hall,L
Mercer,Tennessee,L
Western Kentucky,Tennessee Tech,W
Green Bay,Kansas,L
Villanova,BYU,L
Charleston Southern,Virginia Tech,L
New Haven,Connecticut,L
Youngstown St.,Pittsburgh,L
Southeast Missouri S,Saint Louis,L
Western Michigan,Coastal Carolina,W
Northwestern,Mercyhurst,W
Appalachian St.,Central Michigan,L
Howard,Missouri,L
Florida A&M,South Florida,L
Lehigh,Houston,L
Seattle,Denver,W
LIU,Notre Dame,L
Marshall,Massachusetts,W
Eastern Michigan,Georgia St.,W
Utah Tech,South Dakota,W
Chicago St.,DePaul,L
Nebraska Omaha,Murray St.,L
Delaware,Bucknell,L
Boston University,Northeastern,W
George Mason,Wofford,W
Merrimack,South Dakota St.,L
Stetson,Rhode Island,L
Coppin St.,Maryland,L
Tennessee Tech,Western Kentucky,L
Western Carolina,Cincinnati,L
Lipscomb,Vanderbilt,L
George Washington,Maine,W
Cal St. Bakersfield,California,L
Marist,Xavier,L
Northeastern,Boston University,L
North Dakota,Alabama,L
Loyola MD,Towson,L
Marquette,Albany,W
Towson,Loyola MD,W
South Dakota,Utah Tech,L
Bradley,St. Bonaventure,L
Coastal Carolina,Western Michigan,L
Bellarmine,Georgia,L
TCU,New Orleans,L
Cal Poly,USC,L
Niagara,Duquesne,L
Canisius,Dayton,L
Presbyterian,Navy,L
Fairleigh Dickinson,Iowa St.,L
Jackson St.,Illinois,L
Gardner Webb,Minnesota,L
Texas Southern,Gonzaga,L
Central Arkansas,North Carolina,L
Massachusetts,Marshall,L
Arkansas Pine Bluff,Washington,L
Texas St.,Bowling Green,L
Albany,Marquette,L
Wofford,George Mason,L
Maryland Eastern Sho,Georgia Tech,L
Georgia St.,Eastern Michigan,L
Binghamton,Syracuse,L
Mercyhurst,Northwestern,L
Maine,George Washington,L
Georgia Tech,Maryland Eastern Sho,W
Mississippi Valley S,UAB,L
New Hampshire,Clemson,L
South Carolina St.,Louisville,L
Iowa,Robert Morris,W
Florida St.,Alcorn St.,W
Nevada,Louisiana Tech,W
Texas Tech,Lindenwood,W
Purdue,Evansville,W
NJIT,Fordham,W
Stanford,Portland St.,W
Texas,Duke,L
Robert Morris,Iowa,L
Duke,Texas,W
South Carolina,North Carolina A&T,W
Georgia Southern,East Carolina,L
Alcorn St.,Florida St.,L
East Carolina,Georgia Southern,W
Tennessee Martin,UNLV,W
UNLV,Tennessee Martin,L
Portland St.,Stanford,L
Arizona St.,Southern Utah,W
Kentucky,Nicholls St.,W
Wichita St.,UNC Asheville,W
Oklahoma St.,Oral Roberts,W
West Virginia,Mount St. Mary's,W
North Carolina A&T,South Carolina,L
San Diego St.,Long Beach St.,W
UNC Asheville,Wichita St.,L
Kansas St.,UNC Greensboro,W
Evansville,Purdue,L
Mount St. Mary's,West Virginia,L
Southern Utah,Arizona St.,L
Lindenwood,Texas Tech,L
UNC Greensboro,Kansas St.,L
Fordham,NJIT,L
Valparaiso,Eastern Illinois,W
Eastern Illinois,Valparaiso,L
Oral Roberts,Oklahoma St.,L
Louisiana Tech,Nevada,L
Oregon,Hawaii,W
Nicholls St.,Kentucky,L
Hawaii,Oregon,L
Long Beach St.,San Diego St.,L
LSU,Tarleton St.,W
Indiana,Alabama A&M,W
Creighton,South Dakota,W
Marquette,Southern,W
Temple,Delaware St.,W
Southern,Marquette,L
UC Davis,North Dakota St.,W
Butler,Southern Indiana,W
South Dakota,Creighton,L
La Salle,Coppin St.,W
Georgia,Maryland Eastern Sho,W
North Dakota St.,UC Davis,L
Rutgers,Rider,W
Mississippi St.,North Alabama,W
Delaware St.,Temple,L
USC Upstate,Fresno St.,W
North Alabama,Mississippi St.,L
Tarleton St.,LSU,L
New Mexico,East Texas A&M,W
Eastern Washington,Loyola Marymount,L
Loyola Marymount,Eastern Washington,W
Fresno St.,USC Upstate,L
Rider,Rutgers,L
Southern Indiana,Butler,L
Alabama A&M,Indiana,L
Coppin St.,La Salle,L
East Texas A&M,New Mexico,L
Maryland Eastern Sho,Georgia,L
Auburn,Merrimack,W
Miami FL,Bethune Cookman,W
Iowa St.,Grambling St.,W
Louisville,Jackson St.,W
North Texas,Northwestern St.,W
Texas A&M,Texas Southern,W
Northern Iowa,Cal St. Northridge,W
TCU,Saint Francis,W
Chicago St.,Saint Louis,L
Saint Louis,Chicago St.,W
Florida,North Florida,W
California,Wright St.,W
Denver,Washington,L
Campbell,West Virginia,L
Texas Southern,Texas A&M,L
Grambling St.,Iowa St.,L
Mercyhurst,Loyola Chicago,W
Ohio,Illinois St.,W
Robert Morris,Drake,W
Northwestern St.,North Texas,L
Washington,Denver,W
Jackson St.,Louisville,L
Nebraska Omaha,Abilene Christian,L
Wright St.,California,L
Drake,Robert Morris,L
IU Indy,LIU,L
West Virginia,Campbell,W
Xavier,Le Moyne,W
Abilene Christian,Nebraska Omaha,W
Alcorn St.,South Alabama,L
Le Moyne,Xavier,L
UC Riverside,North Dakota,W
North Florida,Florida,L
LIU,IU Indy,W
Bethune Cookman,Miami FL,L
SMU,Texas A&M Corpus Chr,W
Boston College,The Citadel,W
Portland,Arkansas Pine Bluff,W
Saint Francis,TCU,L
Illinois St.,Ohio,L
North Dakota,UC Riverside,L
South Alabama,Alcorn St.,W
Merrimack,Auburn,L
Cal St. Northridge,Northern Iowa,L
Loyola Chicago,Mercyhurst,L
Quinnipiac,Central Connecticut,W
Texas A&M Corpus Chr,SMU,L
Arkansas Pine Bluff,Portland,L
The Citadel,Boston College,L
Central Connecticut,Quinnipiac,L
Illinois,Florida Gulf Coast,W
Kentucky,Valparaiso,W
Liberty,Charleston,W
Youngstown St.,Grand Canyon,W
North Carolina,Kansas,W
Texas Tech,Sam Houston St.,W
Connecticut,UMass Lowell,W
Tulsa,Rhode Island,W
Yale,Navy,W
Kent St.,Cornell,W
Cornell,Kent St.,L
Sam Houston St.,Texas Tech,L
Wisconsin,Northern Illinois,W
Notre Dame,Detroit Mercy,W
N.C. State,UAB,W
Winthrop,George Mason,L
Oakland,Purdue,L
Davidson,Washington St.,W
Santa Clara,McNeese St.,W
Ohio St.,Purdue Fort Wayne,W
Arizona,Utah Tech,W
Florida St.,Alabama St.,W
Stephen F. Austin,Arkansas St.,W
Kansas,North Carolina,L
Buffalo,Green Bay,W
George Mason,Winthrop,W
Clemson,Gardner Webb,W
Utah Tech,Arizona,L
Charleston,Liberty,L
UMKC,Southern Illinois,L
Southern Illinois,UMKC,W
Southeast Missouri S,Missouri,L
Iona,Hofstra,W
Virginia,North Carolina Centr,W
Saint Mary's,Chattanooga,W
Murray St.,Mississippi Valley S,W
Oregon St.,Illinois Chicago,W
Northwestern,Boston University,W
Purdue,Oakland,W
Idaho St.,San Diego,W
UCLA,Pepperdine,W
Missouri,Southeast Missouri S,W
Utah St.,VCU,W
Green Bay,Buffalo,L
Grand Canyon,Youngstown St.,L
Bucknell,Mount St. Mary's,W
Chattanooga,Saint Mary's,L
Sacred Heart,Duquesne,L
Duquesne,Sacred Heart,W
Wagner,Seton Hall,L
Columbia,New Haven,W
North Carolina Centr,Virginia,L
Georgetown,Maryland,W
McNeese St.,Santa Clara,L
Cal Baptist,UC Irvine,W
Pepperdine,UCLA,L
Illinois Chicago,Oregon St.,L
Iowa,Western Illinois,W
Florida Gulf Coast,Illinois,L
Northern Illinois,Wisconsin,L
Mississippi,Louisiana Monroe,W
UAB,N.C. State,L
Western Illinois,Iowa,L
Pittsburgh,Longwood,W
Purdue Fort Wayne,Ohio St.,L
Rice,Oregon,L
Rhode Island,Tulsa,L
Charlotte,Tennessee Tech,W
VCU,Utah St.,L
Louisiana,Southeastern Louisia,W
Washington St.,Davidson,L
Samford,South Carolina St.,W
Gardner Webb,Clemson,L
South Carolina St.,Samford,L
Georgia St.,Cincinnati,L
Detroit Mercy,Notre Dame,L
Troy,Furman,W
Seton Hall,Wagner,W
DePaul,Stonehill,W
Northeastern,Colgate,W
Siena,Brown,W
San Diego,Idaho St.,L
Oregon,Rice,W
SIU Edwardsville,UTSA,W
Cincinnati,Georgia St.,W
VMI,Southern Indiana,W
