Team,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,A?,2P%,2P%D,3P%,3P%D,Blk,BlkD,Ast,AstD,3PR,3PRD,B?,C?,D?
UC Santa Barbara,53.6,49.8,27.9,30.9,17.2,15.8,27.2,30.3,66.5,52.4,50.5,38.1,30.8,8.4,7.1,58.3,46.1,47.4,36.9,66,77.2,77.4
Arkansas Pine Bluff,49.6,59,30.9,40.2,19.5,15.9,24.1,34.7,72.5,52.6,58.5,31,35.7,6.3,9.2,52.2,59.5,37.9,44.9,72.3,59,69.6
Toledo,50.2,55.9,35,26.8,13.8,15.8,30.1,31.3,69.5,50.6,55.9,33.6,38.2,7.1,7.5,46,45.8,28.6,37.5,69,75.7,74.2
Indiana,51.8,48.2,34.1,28.8,16.5,17.1,31.9,27.7,69.1,52.6,50.3,32.1,32.7,9.2,8.2,58.4,51.8,33.2,38.9,68.7,70.6,72.5
Louisiana,47.1,53.1,29.8,43.7,16.3,19.3,24.9,33.3,66.4,45,53.8,31.3,31.5,8.5,11.5,45.3,49.2,38.1,36.9,67,72.9,73
Central Michigan,48.8,53.1,35.3,31,17.7,18.9,32.2,29.9,68.5,51.2,52.5,31.3,35.9,8,8.8,48.9,54.8,33.3,43.9,67.9,73.2,70.4
Brown,50.1,48.3,32.1,32.7,18.3,16.3,31.6,33.8,67.3,52.1,49.2,33.1,32.9,14,10.3,54.1,47.9,40.5,37.4,66.5,63.2,71.3
Wright St.,54.8,53,26.6,34.2,17.5,14.2,27.2,27.7,68.1,55.3,52.2,38.6,36.7,7.9,7.9,52.3,49.9,37.8,36,68.1,70,70.4
UC Irvine,51.6,45.5,34.6,22.4,17.5,16.7,28.5,26.6,69.6,50.7,42.8,35.6,33.9,8.7,6.7,60.1,55,35.3,37.3,69.6,79.6,72.4
Montana,54.7,51.4,33.2,32,16.5,15.9,23.9,29.7,67.5,56.9,53.7,36.3,33.6,7.9,8.8,49.4,45.6,36.8,35.1,67.8,74.6,74.2
UAB,50.8,51.6,29.8,26.7,13.6,15.5,36.5,29.6,70,49.8,50.4,34,35,10.4,8.2,53.3,49.6,29.3,34.7,69.9,75.9,72.2
Tulane,51.8,49.9,34.4,30.5,16.4,17.7,25.7,31,67.8,52.4,49.1,33.8,32.7,12.7,10.6,56.6,60.1,39.4,42.8,67.6,75,73.1
FIU,47,52.1,34.2,36.6,20.7,20.6,31.1,30.4,69.3,47.4,52.6,28.8,33.3,13.2,8.2,47.6,56.8,30.1,39.5,69.2,70.5,72.9
BYU,57.9,51.3,31.4,30.3,17.1,17,33.5,25.4,68.1,58.6,49.6,36.8,35.7,10,8.3,59.6,53,47.6,46.2,68,71.3,71.5
Illinois Chicago,50.4,50.9,34.5,30.6,17.3,16.1,31.9,29.1,68.7,51.1,51.6,34,34.4,8.3,10.3,56,57.1,39.4,35.3,69.8,72.1,71.1
Xavier,55,50.7,38.6,29.9,15.6,17.8,24.4,24.3,69.4,51.2,50.6,39.1,34.4,6.9,11.2,62.8,55.4,37.6,37.4,69.6,78.9,72.8
Charlotte,48.7,54.7,41.3,34.3,15.9,15.1,25.1,28.3,65.4,49.6,56.4,31,33.3,6.1,10.9,52.2,46.3,40.9,34.5,65.5,75.2,69
Canisius,51.9,58,25,34,17.6,16.2,18.3,33.8,66.2,48.4,58.7,36.7,36.2,7.2,9.9,47.7,59,41.4,40.9,66.9,75.9,76.1
Wake Forest,49.7,47.1,37.1,32,17.1,20.3,27.1,30.7,67.9,52.9,48.2,28.5,30.7,12.7,7.5,45.8,57.4,35.2,45.8,67.9,75.6,77
Florida Atlantic,53.6,50.4,32.1,30.4,16.3,16.5,30.3,30.5,69.5,53.9,47,35.1,37.1,11.3,8.7,56.9,51.7,40.3,35.8,69.7,70,74
Northeastern,50.8,51.6,28.7,32.7,19,18.6,32.2,31.2,67.1,51.3,49.2,33.7,34.9,12.6,10.1,49.7,47.7,34.8,34.7,68.2,68.7,69.6
Robert Morris,49.9,50.5,37.5,31.7,18.4,18.5,33.6,28.8,68.9,50.7,50.6,34.6,34,11.9,9.5,60.4,52.2,36.7,35.6,68.7,71.8,72.4
Seattle,47.4,51.9,38.1,33.6,15.4,19.4,29.2,27.3,67.5,46.3,53.3,31.3,31.9,9.7,11.4,51.3,56.3,36.3,38.6,66.7,71.3,72.1
Villanova,55,50.7,31.4,32.4,15.6,16.1,30.8,27.8,63.7,51.3,50.5,39,34.5,7.8,8.4,48.4,59.8,43.7,45.8,63.9,79.6,69.3
Howard,52.6,53.2,31.9,38.2,19.7,15.4,26.8,31.2,70.8,52.6,53.1,36.6,33.8,7.4,8.3,57,45.5,38.4,33.5,70.4,76,77.2
Utah St.,55.5,51.7,36.8,34.7,15.5,20.5,35.7,31.8,67.1,57.5,52.7,34.9,34,9.3,9.9,60.9,59.2,42.6,44.4,68.2,70.2,72.3
Marist,49.2,48.2,24.3,36.9,18.3,15.8,29.9,27.4,64.2,51.5,44.9,31.4,33.7,9.7,6.9,55.8,45.1,37.6,35.4,64.7,70.8,72.3
Portland St.,48.4,49.5,30.7,34.6,18.9,19.5,34.6,31.7,68.5,51.7,51.6,32,31.7,13.7,8.2,48.6,52.7,31.7,39.1,68.9,63.5,73.4
Denver,48.7,52.6,30.6,48.3,19.9,18.2,26.8,30.9,68,50.5,56.2,33.3,34.1,7.7,7.7,43.5,48.5,36.9,37.9,67.2,74,73.1
Cal St. Northridge,51.3,50.2,34.2,44.1,18.4,18.9,35.1,25.8,72.7,51.6,46.7,34.7,35.7,10.6,8,55.3,62.1,30.7,50.8,72.9,72.9,77
Maryland,54.1,46.1,34.3,26.1,14.6,20.4,30.9,28,70.4,52.2,47.8,37.3,30.6,11.8,6.8,49.1,49.2,35.4,36.2,70.2,75,73.7
Rice,48.7,49.2,40.2,34.2,17.5,14.3,31.7,29.3,65.9,47.8,47.5,33.2,32.1,8.5,10,50.9,47.7,38.8,36.9,66.1,68.3,71.5
Abilene Christian,47.5,53.3,33.7,45.9,19.7,21.9,29.5,30.2,70.1,47.8,52.6,28.9,32.6,8.4,11.2,51.6,51.6,25.3,32.5,69.9,71.9,69.2
Rider,47.3,54.3,31.2,29.7,16.5,15.5,31.6,31.4,65.3,48.1,52.8,31.2,35.7,9.1,8.8,51.1,53.9,30.1,40.9,65.6,72.2,69.1
Boston College,49,51.9,32.9,37.2,17.9,15.8,29.7,29.5,66.9,47.5,51.3,34.5,35.2,10.5,8,45.3,48.4,33,35.9,67.4,71.9,71.7
Arizona,54.7,47.6,37.5,31.5,15.4,16.8,36.3,26.5,70.5,54.7,47.5,33.8,34,12.1,7.1,55.6,51.9,34.7,41.3,70.7,78,71.7
Penn St.,54.1,51,40.2,30.1,17.7,20.3,28.5,29.6,71,55.6,51.3,34.3,35.3,11.3,8.7,57.8,63.9,36.2,38.3,70.9,75.6,72.6
Hawaii,50.2,49.9,38.1,32.6,19.7,12.4,30.8,25.4,66.9,53.1,48,31,35,5.9,7.9,49.4,41.6,37.4,32.4,66.6,74.4,74.3
San Diego,45.6,53.7,32.1,46.3,19,18.2,30.2,32,71.8,46.3,51.6,29.7,38.5,10.1,9.5,45.8,57.2,35.8,38.3,71.7,75.1,73.4
UC Davis,45.9,49.6,37.1,38,19.3,20.2,28.1,33.6,68.3,45.1,48.3,32.2,35.2,10.1,7.1,47.5,54.8,35.5,37.7,67.9,74.4,75.8
LSU,51.6,48.2,32,27.5,18.6,17.1,28.6,32.7,69.5,55.2,48.2,30.5,32.3,11.7,9.9,48.8,47.4,43.5,35.8,68.8,71.4,70.6
Fresno St.,45.9,53.1,33.9,23.1,17.1,17.6,27.8,34.4,70.8,45.6,56,31.3,34.2,8.7,10.6,44,57.6,35.3,43,71.5,69.2,72.2
UMKC,46.8,49.8,30.1,34.2,20.3,18.1,33.6,31.7,65.7,47.5,53.6,33.1,31.8,9.9,8.1,48.1,47.9,44,40.8,65.1,76.9,73
Baylor,52.9,51.4,31.3,34.3,14.9,18.9,35.9,28.2,65.2,50.9,50.8,34.3,35.9,8.2,10.7,52.8,59.6,40.1,41.4,65.2,74.8,70.5
Oral Roberts,48.4,53.8,33.2,37.3,17.2,14.6,23.3,32.9,68.1,48.5,56.6,34.4,35,7.1,10.2,39.8,54.2,45.7,40.2,67.9,75.9,77.2
Ohio,52.1,52.4,33.5,36.3,15.3,18.2,24.1,28.8,71.5,53.9,50.4,35,37.6,7.2,8.7,49.4,47.5,40.1,32.6,71,76.5,70.4
Winthrop,52.1,51,42.1,34.1,17.7,18.1,30.1,30.2,73.8,55,50.6,33.8,35.2,8.7,11,43.8,46.4,38.3,37.9,73.4,66.2,72.5
Northern Illinois,46.2,52.9,31.3,43.9,16.4,16.9,18,31.5,70.1,45.3,51,32.7,38,9.5,9.8,52.3,54.6,49.2,37.5,69.6,70.8,71.5
Georgia Tech,50.1,49,31.9,28.9,17.6,16.2,30.1,28.5,69.1,49.5,46.9,34.3,35.1,10.2,9.8,56.1,55.1,36.8,40.8,69.5,68.7,72.4
Kent St.,47.9,48.2,30,38.5,17.3,19,35.7,28.4,67.7,49.8,49.6,31.2,31.2,9.7,8.8,45.6,56.7,37,42.2,66.8,74.8,74.2
High Point,54.6,49.4,33.5,32.1,15.3,15.7,32.4,29.1,66.9,57.3,48.9,36.6,32.9,7.1,7.8,45.2,42.8,39.4,35.6,67.1,76.2,70.3
Weber St.,49,52.4,34.1,36.4,17.7,16.5,25.9,31.3,65.8,51.1,52.2,32.4,36.7,6.9,9.7,42.7,55,37.2,43,66.2,70.1,73.6
Maine,51.3,50.7,30.5,31.5,16.6,21.6,22.2,33.9,66.5,50.6,50.7,35.7,33.3,9.9,7.4,55.3,54.3,33,36.2,66.7,72.8,71.9
Radford,49.9,50.2,38,33.8,17.7,16.3,32.8,30,64.3,49.9,49.3,35.6,35.8,8.8,8.4,44.3,48,36.3,40.1,63.7,76.1,75.4
Kansas,54.6,45.3,26,27.9,16.5,16,30.5,25.7,69.2,53,46.3,35.4,30.8,12.9,9.1,61.2,52.6,34.1,40.6,69.1,71.6,73.1
SMU,54.2,48,36.9,32.8,17.2,18.2,36.1,29.9,69.3,53.3,47,37.8,33.1,10.7,10.1,56.1,62,35.1,41.1,69.7,71.4,74
Richmond,49.3,52.1,31.1,36.3,15.4,16.1,19.7,28.4,64.2,49.7,52.4,31.2,35.4,7.2,9.7,51.7,52.5,45.6,48.6,64.5,80.8,72.3
Providence,52.5,48.4,32.1,34.4,19.3,14.2,34.3,29.2,66.6,51.1,49,35.6,33.5,9.2,9.3,51.2,48.9,45.5,37,66.9,68.6,72.6
Louisville,53.8,48.7,34.8,27.4,16.4,19.5,32.1,27.3,69.1,56.8,48.7,32.8,34.1,8.1,9.8,51.3,46.9,47.8,39.8,69.6,74.6,71.2
Davidson,52.8,52.7,29.2,27.1,14.9,15.3,24.8,27.4,66.3,53.3,51.9,34.1,35.3,7.3,8.8,56.9,49.2,42.1,39.9,66.4,75,70
North Florida,52.1,54,26,32.8,15.7,15.2,27.5,34.3,72.6,54,54.5,35,35.5,7,12.8,53.6,54.3,54,31.1,72.9,67.9,72.5
Missouri St.,50,52.5,34.3,37.4,21.7,19.2,33.9,30.2,64.3,49.1,55,36,36.1,8.4,11.9,49.9,55.3,37,39.4,64.5,65.4,70.9
Vanderbilt,52.2,52.4,33,35.3,14.4,20.5,31.4,28.2,69.9,53.5,51.4,32.5,36.6,11.2,11.6,50.2,47.3,40.4,37.7,70.1,74.6,71.9
Washington St.,56.4,50.3,33.3,32.8,20.7,17.6,32.4,34,71.6,58.2,51.7,36.2,33.6,12.7,7.9,59.3,49.9,41.3,39.1,71.4,70.1,71.9
Akron,53.9,50.5,27.2,32.8,16.5,18.1,33.2,29.8,72.5,55.2,51,36.4,32.4,9.8,7.5,57.9,45.1,45.2,38,71.9,75.1,72.3
Bowling Green,48.5,52.9,33,30,18.3,17.7,25.8,28.7,69.9,49.6,54.6,33.5,33.2,9.4,12.2,43.6,54.9,39.7,42.4,69.5,74.7,78.5
Memphis,54.6,48.3,38.2,31.7,19.9,20.4,34.9,31.1,71.2,52,48.6,37.6,32.4,13.3,9.2,51.5,54.2,33.3,41,71.3,70.2,71.3
Central Arkansas,46.6,56,29.9,24.3,19.1,17.2,28,31.3,67.4,50.2,55.4,29.6,38.7,8.1,12.5,56.1,61.5,47.8,52.1,67,72,72.4
Murray St.,49,50,40,34.2,17.1,17.5,30.6,28.3,65.3,48.6,52.6,33.6,32.1,7.9,10.5,49,37.7,40.1,32.1,65.4,72.2,74.2
American,51.2,52.2,31.8,37,17.4,17.9,25,29.8,63.7,51.4,53.5,35.2,33.8,5.4,9.6,52.2,50.6,45.3,35.9,64.2,75.7,69.6
Notre Dame,52,50.9,33.8,30.4,17.2,15.3,30.1,25.7,65.4,50.8,53.6,35.5,32.1,5.1,9.1,44.2,55.1,37.5,40.5,65.4,74,75.4
Creighton,57.3,46.5,29.7,18.2,17.8,11.9,26.9,26.2,67.7,60.4,46.2,34.5,32.6,10.5,10.9,63.1,42.8,48.9,35.3,67.9,72.8,71.7
Duke,58.7,43.6,34.4,25.4,14.3,17.8,35,26.3,66.6,57.9,43,38.6,31.1,10.9,9.4,58.6,50.4,44.6,38.3,66.4,79,72.9
Indiana St.,53.9,53.6,34.4,37.4,19.1,15.7,27.3,28.2,72.1,56.6,54.5,35,35.9,5.4,11.7,57.8,48.8,50.1,38,73,75.3,71.4
UCLA,53.2,49.1,33.7,33,16.1,23.8,33.5,29.3,66.2,52.8,50.7,35.2,32.8,11,7,61.1,58,36.5,45,65.6,71,75.1
