Team,Opp.,W/L
Auburn,Duke,L
Villanova,Temple,W
Michigan St.,Minnesota,W
Oklahoma St.,Seton Hall,W
Duke,Auburn,W
Auburn,Ohio St.,W
Auburn,Memphis,W
Mississippi,Colorado St.,W
Florida,Virginia,W
Northern Iowa,Montana,W
North Dakota St.,Utah Valley,W
Gonzaga,Baylor,W
Vanderbilt,The Citadel,W
Seattle,UC San Diego,W
Memphis,Connecticut,W
Indiana,Providence,W
Alabama,Illinois,W
Northern Iowa,Northern Illinois,W
Kentucky,Lipscomb,W
Notre Dame,Georgetown,W
Tennessee,Baylor,W
TCU,Florida A&M,W
Tennessee,Austin Peay,W
Georgia,Jacksonville,W
Dayton,Iowa St.,L
Mississippi St.,Pittsburgh,W
Illinois,Arkansas,W
Providence,BYU,W
Auburn,Houston,W
Yale,Fairfield,W
Purdue,Mississippi,W
Purdue Fort Wayne,Penn St.,L
St. John's,Virginia,W
Connecticut,Texas,W
Baylor,Tarleton St.,W
South Dakota,Idaho St.,W
Oregon St.,UC Davis,W
Villanova,Maryland,L
Iowa St.,Colorado,W
Missouri,Mississippi Valley S,W
Miami FL,Presbyterian,W
Wisconsin,Arizona,W
Utah St.,Charlotte,W
San Francisco,Fordham,W
Stanford,California,W
Saint Louis,UMass Lowell,W
Xavier,Morgan St.,W
Connecticut,Memphis,L
Radford,Evansville,W
Prairie View A&M,Mississippi St.,L
Charlotte,Presbyterian,W
Iowa,New Orleans,W
Louisiana Tech,UT Arlington,W
Middle Tennessee,South Florida,W
William & Mary,Richmond,W
Canisius,St. Bonaventure,L
Nevada,Texas Southern,W
Cornell,Army,W
Mississippi,Louisville,W
Delaware,Yale,W
Kentucky,Louisville,W
Connecticut,Xavier,W
Kansas,Duke,W
Nevada,Santa Clara,W
Nevada,Oklahoma St.,W
Penn St.,Binghamton,W
Santa Clara,Bradley,W
Villanova,NJIT,W
Purdue Fort Wayne,Eastern Michigan,W
Purdue,Alabama,W
North Dakota St.,Western Michigan,W
Alabama,UNC Asheville,W
San Diego St.,Houston,W
Texas A&M,Lamar,W
Southern Utah,Idaho,W
Oklahoma,Arizona,W
Texas Tech,Bethune Cookman,W
Oklahoma,Michigan,W
Marquette,Wisconsin,W
Purdue Fort Wayne,Drexel,W
Elon,Notre Dame,W
Miami FL,Fairleigh Dickinson,W
North Florida,Georgia Tech,W
Akron,Nebraska Omaha,W
USC,Washington,W
Xavier,Connecticut,L
UCLA,Idaho St.,W
Gonzaga,Kentucky,L
Alabama,Houston,W
Cal Baptist,San Diego St.,L
Dayton,Connecticut,W
Merrimack,Niagara,W
Columbia,Villanova,W
Mount St. Mary's,Fairfield,W
Saint Mary's,Nebraska,W
Maryland,Saint Francis,W
