,,,,,,,,,,,,,,,,,,,,,,
Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,12/4/24,N,Auburn,SEC,Duke,A,"L, 84-78",152.9,117.1,62.8,124.3,53.1,12.7,40.5,18.8,133.8,57.8,6.4,33.3,46.6,95.5,-2
1,12/4/24,N,Auburn,SEC,Duke,A,"L, 84-78",152.9,117.1,62.8,124.3,53.1,12.7,40.5,18.8,133.8,57.8,6.4,33.3,46.6,95.5,-2
2,12/7/24,N,Villanova,BE,Temple,N,"W, 94-65",148.5,104.8,63.1,148.9,76.4,19,40.7,37.7,102.9,43.5,11.1,31.6,53.7,98.2,13
3,12/4/24,C,Michigan St.,B10,Minnesota,A,"W, 90-72",147.4,111,64.2,140.2,62.7,14,41.4,47.3,112.1,51.7,10.9,27,28.8,96.3,11
4,12/8/24,N,Oklahoma St.,B12,Seton Hall,A,"W, 85-76",145.8,111.5,68.5,124.1,66.7,23.4,38.1,37.3,111,56.5,21.9,36.7,42.6,95.6,15
5,12/4/24,N,Duke,ACC,Auburn,H,"W, 84-78",145.5,103.4,62.8,133.8,57.8,6.4,33.3,46.6,124.3,53.1,12.7,40.5,18.8,98.1,2
6,12/14/24,N,Auburn,SEC,Ohio St.,N,"W, 91-53",145.3,78.3,65.3,139.3,54.9,7.7,41,19.4,81.1,41.2,12.2,13.2,37.3,99.9,19
7,11/27/24,N,Auburn,SEC,Memphis,N,"W, 90-76",144.6,100,67.1,134.2,63.3,13.4,37.9,28.3,113.3,55.4,16.4,27.6,33.9,98.6,13
8,11/16/24,N,Mississippi,SEC,Colorado St.,N,"W, 84-69",144.5,105.7,62.8,133.8,59.1,6.4,29,47.3,109.9,57,23.9,26.9,22,97.3,15
9,12/4/24,N,Florida,SEC,Virginia,H,"W, 87-69",142.6,113.6,64.4,135.2,60,9.3,34.4,35,107.2,52.6,23.3,40.6,17.5,93.2,6
10,12/16/24,N,Northern Iowa,MVC,Montana,H,"W, 104-76",142.5,117.9,67.3,154.5,78.4,10.4,35,31,112.9,59.4,19.3,24,32.1,89.8,9
11,11/28/24,N,North Dakota St.,Sum,Utah Valley,N,"W, 83-63",142.3,111.8,59.6,139.3,70.2,13.4,18.2,40.4,105.7,49.1,15.1,34.4,27.8,94.1,9
12,11/4/24,N,Gonzaga,WCC,Baylor,H,"W, 101-63",141.9,84.8,70.3,143.6,65.5,15.6,48.6,18.3,89.6,39.5,17.1,32.6,32.3,99.7,13
