Team,ADJOE,ADJDE,BARTHAG,REC,Wins,Total Games,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,?,2P%,2P%D,3P%,3P%D,Blk,BlkD,Ast,AstD,3PR,3PRD,?,?,?
UC Santa Barbara,106.94981352254,104.09889548792,0.57705873874396,6–4,6,10,56.3,46.3,27,26.6,18.9,16.6,29.7,25.7,67.4,55.5,47.5,38.2,29.7,7.9,7.7,52.8,44.7,45,39.6,66.4,75.7,73.1
Arkansas Pine Bluff,100.34131993229,125.49133686168,0.070957045983203,1–10,1,11,50.9,61.2,25.9,37.1,23,14.3,23.2,41.9,73.9,55.5,66.5,29.5,36.9,5.2,8.1,46.6,65.4,41.3,48,74.5,66.5,70.6
Toledo,108.07573049733,113.84899225599,0.35469412301319,5–5,5,10,49.9,55.2,32.7,25.4,13.5,16.1,24.7,31.9,70.9,49.3,57.3,34.2,34.6,7.5,9.2,47.4,44.1,30.7,38.3,72,71.4,69.8
Indiana,114.29160000319,99.138808989481,0.83694477335601,8–3,8,11,54.7,48.2,36.7,26.9,19.1,17.3,33,29,70.8,56.7,48.4,33.7,31.8,10.5,6.5,58.9,55.4,32.2,38.1,71.8,74.8,68.1
Louisiana,102.35650337937,114.08972082005,0.22304340400476,2–9,2,11,47.3,54.8,30.1,45.2,17.3,18.9,25.7,36.6,67.2,46.2,54.6,32.7,36.8,8.2,10.5,50,47.8,40.1,35.2,68.9,69.9,72.1
Central Michigan,102.22408460208,104.05533514833,0.44912951683908,2–5,2,7,48.9,52.4,31.2,38.9,21.5,17,30.9,27.1,69.7,52.4,53.3,29.5,34.2,8.4,10.2,56.2,57.1,43.5,46.2,71.3,72.6,70.3
Brown,106.30513392792,105.27047721283,0.52808952964096,7–3,7,10,54.2,46.1,30.7,27.7,17.3,18,31.8,32.8,65.7,54.8,45.8,35.6,31.3,13.7,10.7,55.5,39.6,42.4,31.6,65.9,64.8,71.4
Wright St.,109.76885531154,108.46139191162,0.53439546403862,5–6,5,11,56.7,52.8,26.6,29.8,16.8,13.7,20.6,25.1,68.2,54.9,53,39.7,35,7.7,9.1,51,52.3,39.2,36.2,68.2,72,67.7
UC Irvine,102.09164429204,89.016703862497,0.82864277584198,8–1,8,9,50.8,43.1,33.3,23.1,19.9,18,28.5,22.9,69.8,50.6,42.8,34.1,29.1,8.3,7.4,63.9,45.1,32.7,32.6,71.6,83.8,71
Montana,106.87839162124,109.62231415363,0.42763256456947,4–5,4,9,51.7,53.4,35.3,33.3,19,15.1,24.7,32.5,70.8,56.1,55.8,30.3,32.6,8.6,10.5,48.5,49.1,41.3,34.8,70.7,73,78.9
UAB,110.39220824153,110.46401004795,0.49813064589711,5–6,5,11,50.3,50.1,32.7,31.2,14.9,16.6,38.3,29.9,72.3,51.6,50,31.4,33.6,9.9,9.1,48.7,47.2,30.1,37.1,71.8,71.9,76.7
Tulane,103.62927263545,105.91658080808,0.4375607402986,4–7,4,11,48.4,47.5,33,36.1,16.2,18.5,29.6,29.5,68.6,47.9,45.6,32.7,33.2,16.3,10.6,59,65.1,42.5,44.1,68.1,77.3,75.1
FIU,96.586900462963,102.93422268519,0.32476893294904,2–7,2,9,46.3,50.3,36.2,40.2,17,19.9,29.1,29.3,70.5,48.8,54.5,27,28.3,10.3,7.5,49.6,58.4,30.4,35.3,71.1,69.1,71.7
BYU,117.4059727529,99.222596346866,0.87381593551552,8–2,8,10,56.7,49.5,27.2,29.3,16.4,19.1,37.6,18.5,68.6,59,46.1,36.1,35.8,13.7,6.3,S,53.5,47.5,44.3,69.3,68.2,69.6
Illinois Chicago,105.55556881313,108.20301010101,0.42925925508959,4–4,4,8,48.8,53.4,33.5,34.6,21.5,15.3,37.8,27.5,70.4,49.7,50.9,31.6,38.8,8.6,11.8,55.5,55.2,39.8,33.6,71.3,72.1,65.9
Xavier,112.15731510616,100.66351420694,0.77614995107738,8–4,8,12,54.9,48.2,35.9,32,16.4,17.2,29.2,24.8,69.6,50.9,45.9,40.7,35.2,7,13.3,64.1,56.5,38.6,33.9,70,78.5,70.9
Charlotte,108.17610175439,112.33029064327,0.3933253623773,5–4,5,9,48.5,52,52.1,34.4,13.9,15.1,28.7,33.7,65,50.5,55.4,30.2,30.3,6,11.4,57.8,49,37.6,34.8,64.9,72.2,64.8
Canisius,99.897456067851,121.08987431849,0.098636135455171,0–12,0,12,48,56.5,20.7,31.9,19.1,14.4,19.9,34.6,66,46.8,59.4,33.1,34.9,7.1,10.7,49.4,58,43.2,41.3,66.9,80.9,73.5
Wake Forest,101.35948404043,96.381514849401,0.64086689475517,9–3,9,12,48,45.5,33.9,26.4,17.7,21.5,29.4,31.5,67.7,54,44.2,26.6,31.3,15,4.7,52.4,55.3,42.8,45.2,66.9,72.9,77
Florida Atlantic,114.27136172249,107.11270143541,0.67786683494526,6–5,6,11,55.7,52.2,38.1,31.9,16.2,19.3,26,29.8,72.8,55.7,46.9,37.1,39.8,10.3,8.4,57.7,55.3,41.5,41.6,73,70.8,73.4
Northeastern,101.98687894737,100.97363289474,0.52867464308669,8–4,8,12,51.9,47.2,31.3,30.6,18.5,17.3,29.3,28.1,69.4,53.4,46.4,32.4,32.4,12.3,11.2,51.9,48.8,31.6,35.4,70.5,66.8,65.7
Robert Morris,95.668890905807,101.54154567486,0.33512157393534,6–5,6,11,45.7,51,36.9,33.8,19.9,18.3,31.8,21.7,70.7,46.2,52.3,30,32.4,10.8,9.6,51.7,48,37.2,36.4,70.4,74.8,76.2
Seattle,109.16182286923,109.20477690969,0.49886894188564,2–7,2,9,48.5,58.5,45.8,35.1,18.6,18.1,31.7,24.5,68,44.9,61.2,35.6,36.5,3.9,8.4,52.5,57.7,42.2,41.9,67.2,73.9,69.4
Villanova,122.51000328365,107.84326782222,0.81251080177657,8–4,8,12,58.3,49.7,28.9,32.7,17.5,16.7,37.5,28.4,64.2,56,47.5,40.6,35.2,7.6,6.9,50.6,57.4,46.4,41.7,65.8,80.1,68.7
Howard,104.269214078,112.03327552291,0.30450687646962,3–7,3,10,52.2,55.5,27.8,35.9,20.6,15.7,25.6,29.7,69.1,49.6,60.1,38,32.8,3.6,8.1,57.3,45.2,35,41.8,69.1,75.5,74.9
Utah St.,115.63513005761,99.371707662762,0.85107813344007,9–1,9,10,52.6,50.1,39.4,27.5,16.9,22.7,40.8,28.5,69.9,56.1,53.2,31.4,30.8,11.1,11.3,59.2,54.1,38.3,43.9,70.9,75.7,66.5
Marist,101.93736081871,109.58059532164,0.30333420321565,7–2,7,9,52.6,50.7,22.5,32.6,16.8,17,29.3,26.3,65.1,53.1,51,34.6,33.5,8.5,6.8,49,45,38.8,37.7,65,67.2,73.1
Portland St.,106.16104035088,113.45359766082,0.31777359267836,4–5,4,9,50.3,55.2,36.6,36.5,17.6,18.9,34.6,32.9,71.9,51.6,51.5,31.7,40.8,16.2,9.2,49.4,56.2,33.6,38,71.6,64.5,77.7
Denver,100.70053415699,111.93320176996,0.22861671151971,3–8,3,11,48.5,52.9,31,44.8,18.1,17.1,25.9,31.1,68.4,48.7,59,32,28.5,4.1,10.5,46.9,54.1,39.5,37.7,67.6,77.6,76.7
Cal St. Northridge,103.58449022246,103.83265057515,0.49312095101227,6–4,6,10,51.4,48.4,39.3,49.9,18.8,20.2,32.8,25.1,73.6,51.8,46.5,33.7,33.3,14.5,6.9,53.2,63.2,30.9,54.2,73.4,71,76.3
